"7","9","trial_name","trial_number","key_pressed","correctness","RT","question","picture","type","key1","key2","expected","QUD","pitch","startDate","startTime","experiment_id",
"green or low pitch","red or high pitch","pauseScreen","1","9","correct","3493","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","1","9","correct","1042","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","2","9","incorrect","2835","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","3","9","correct","1375","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","4","9","correct","1044","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","5","7","correct","858","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","6","9","correct","1323","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","7","9","correct","1471","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","8","9","correct","950","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","9","7","correct","1235","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","10","7","correct","998","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","11","7","correct","716","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","12","7","correct","951","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","pauseScreen","2","9","incorrect","2970","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","1","9","correct","1043","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","2","7","correct","1143","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","3","9","correct","952","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","4","7","correct","621","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","5","9","correct","673","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","6","9","correct","624","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","7","7","correct","949","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","8","9","correct","719","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","9","7","correct","623","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","10","9","correct","1188","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","11","7","correct","623","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","12","7","correct","1233","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","13","9","correct","905","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","14","7","correct","903","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","15","7","correct","909","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","16","7","correct","713","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","17","7","correct","716","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","18","9","correct","1328","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","19","9","correct","954","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","20","9","correct","1046","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:54:31 GMT+0100 (Mitteleuropäische Normalzeit)","1678280071219","INSERT_A_NUMBER",
