"7","9","trial_name","trial_number","key_pressed","correctness","RT","question","picture","type","key1","key2","expected","QUD","pitch","startDate","startTime","experiment_id",
"green or low pitch","red or high pitch","pauseScreen","1","9","correct","1015","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","1","9","correct","578","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","2","9","correct","995","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","3","9","correct","715","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","4","7","correct","764","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","5","9","correct","628","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","6","7","correct","617","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","7","7","correct","813","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","8","7","correct","620","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","9","7","correct","573","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","10","9","correct","763","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","11","7","correct","671","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","12","9","correct","623","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","13","9","correct","769","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","14","9","correct","669","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","15","7","correct","715","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","16","7","correct","574","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","17","7","correct","720","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","18","9","correct","577","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","19","7","correct","809","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","20","9","correct","624","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:36:45 GMT+0100 (Mitteleuropäische Normalzeit)","1678279005584","INSERT_A_NUMBER",
