"7","9","trial_name","trial_number","key_pressed","correctness","RT","question","picture","type","key1","key2","expected","QUD","pitch","startDate","startTime","experiment_id",
"green or low pitch","red or high pitch","pauseScreen","1","9","correct","1421","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","1","7","incorrect","816","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","2","9","correct","670","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","3","7","correct","715","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","4","9","incorrect","1610","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","5","7","correct","999","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","6","9","correct","811","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","7","9","correct","762","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","8","7","correct","532","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","9","9","correct","996","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","10","7","correct","812","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","11","9","correct","903","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","12","7","correct","861","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","pauseScreen","2","9","incorrect","1175","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","1","9","correct","902","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","2","9","correct","864","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","3","7","correct","811","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","4","7","correct","769","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","5","7","correct","670","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","6","9","correct","619","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","7","9","correct","811","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","8","7","correct","669","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","9","7","correct","576","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","10","9","correct","856","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","11","7","correct","626","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","12","7","correct","854","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","13","7","correct","623","Press the according button","images/green.png","vision","9","7","green or low pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","14","9","correct","574","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","15","9","correct","807","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","16","9","correct","579","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","17","7","correct","813","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","18","7","correct","715","Press the according button","images/sound.jpg","sound","9","7","green or low pitch","","1","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","19","9","correct","810","Press the according button","images/sound.jpg","sound","9","7","red or high pitch","","0","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
"green or low pitch","red or high pitch","forced_choice_sound","20","9","correct","671","Press the according button","images/red.png","vision","9","7","red or high pitch","","NA","Wed Mar 08 2023 13:34:28 GMT+0100 (Mitteleuropäische Normalzeit)","1678278868469","INSERT_A_NUMBER",
